Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
29.0,2.7669826256102387e-14,2.600008000892785e-14,1.6000181935104816e-13,2.3331186274719834e-16,1.8888647641311635e-13,3.791868523364052e-14,
29.5,4.4062225747622074e-08,4.7054589814917685e-08,2.8956910813924704e-07,3.7289349312416106e-10,3.4184416612482007e-07,6.256111966433692e-08,1.222595962959358e-11
30.0,0.025566697716647407,0.0400423557813536,0.24641654081580816,0.00021767253578824716,0.2909013929553634,0.04120917282132203,1.040400579799471e-05
30.5,0.02556670439293171,0.04004240819670661,0.24641686337450508,0.00021767259348676104,0.29090177374462944,0.04120919974633693,1.0404019416814492e-05
31.0,0.02556670439293644,0.04004240819674139,0.24641686337470903,0.0002176725934868038,0.29090177374487436,0.04120919974635458,1.0404019416823642e-05
31.5,0.02556670439293644,0.0400424081967408,0.2464168633747097,0.00021767259348680335,0.2909017737448736,0.04120919974635438,1.0404019416823281e-05
32.0,0.025566704392936,0.04004240819674209,0.24641686337471175,0.00021767259348679888,0.2909017737448765,0.04120919974635559,1.0404019416823811e-05
32.5,0.02556670439293609,0.04004240819674225,0.24641686337470953,0.0002176725934868,0.2909017737448753,0.04120919974635552,1.0404019416823856e-05
33.0,0.025566704392936155,0.04004240819674261,0.24641686337471091,0.0002176725934868002,0.29090177374487713,0.04120919974635535,1.0404019416824005e-05
33.5,0.025566704392936217,0.04004240819674223,0.24641686337470953,0.00021767259348680088,0.29090177374487536,0.04120919974635509,1.0404019416823856e-05
34.0,0.025566704392936283,0.04004240819674237,0.2464168633747092,0.00021767259348680178,0.2909017737448761,0.04120919974635501,1.0404019416823749e-05
34.5,0.025566704392936297,0.040042408196742124,0.24641686337471,0.00021767259348680159,0.29090177374487486,0.04120919974635479,1.0404019416823856e-05
35.0,0.025566704392936037,0.04004240819674267,0.24641686337471053,0.00021767259348679955,0.2909017737448764,0.04120919974635563,1.0404019416823856e-05
35.5,0.025566704392936193,0.040042408196742436,0.2464168633747106,0.0002176725934868011,0.29090177374487797,0.04120919974635531,1.0404019416823769e-05
36.0,0.025566704392936245,0.04004240819674255,0.24641686337470978,0.00021767259348680134,0.2909017737448752,0.04120919974635496,1.0404019416823749e-05
36.5,0.025566704392936217,0.04004240819674265,0.24641686337471091,0.0002176725934868009,0.29090177374487686,0.04120919974635517,1.0404019416823918e-05
37.0,0.025566704392936023,0.04004240819674249,0.24641686337471067,0.0002176725934867993,0.2909017737448763,0.04120919974635563,1.0404019416823876e-05
37.5,0.025566704392936103,0.04004240819674228,0.24641686337471014,0.0002176725934868,0.2909017737448756,0.04120919974635515,1.0404019416823791e-05
38.0,0.025566704392935877,0.04004240819674261,0.24641686337470975,0.00021767259348679822,0.29090177374487536,0.041209199746355785,1.0404019416823727e-05
38.5,0.02556670439293626,0.04004240819674242,0.24641686337471042,0.00021767259348680134,0.29090177374487763,0.04120919974635537,1.0404019416823769e-05
39.0,0.02556670439293623,0.04004240819674272,0.24641686337471067,0.00021767259348680137,0.29090177374487686,0.04120919974635526,1.0404019416823898e-05
39.5,0.02556670439293631,0.04004240819674251,0.24641686337471086,0.00021767259348680224,0.29090177374487663,0.04120919974635517,1.0404019416823834e-05
40.0,0.025566704392936335,0.04004240819674247,0.24641686337471003,0.00021767259348680224,0.2909017737448775,0.04120919974635534,1.0404019416823834e-05
40.5,0.02556670439293623,0.0400424081967426,0.2464168633747111,0.00021767259348680134,0.2909017737448764,0.04120919974635527,1.0404019416823706e-05
41.0,0.02556670439293623,0.04004240819674238,0.24641686337471044,0.00021767259348680134,0.29090177374487647,0.04120919974635519,1.0404019416823918e-05
41.5,0.025566704392936217,0.04004240819674256,0.2464168633747107,0.00021767259348680088,0.2909017737448764,0.041209199746355146,1.0404019416823856e-05
42.0,0.02556670439293631,0.04004240819674255,0.24641686337470975,0.0002176725934868022,0.2909017737448771,0.04120919974635535,1.0404019416823876e-05
42.5,0.025566704392936037,0.04004240819674229,0.24641686337471053,0.00021767259348679934,0.2909017737448779,0.04120919974635545,1.0404019416823898e-05
43.0,0.025566704392936273,0.04004240819674244,0.24641686337471158,0.00021767259348680156,0.29090177374487797,0.041209199746355396,1.0404019416823876e-05
43.5,0.02556670439293623,0.04004240819674256,0.24641686337471091,0.00021767259348680134,0.2909017737448767,0.04120919974635526,1.0404019416824025e-05
