Distance (m),Barite (g/m^2),Brucite (g/m^2),Halite (g/m^2),Portlandite (g/m^2)
1.27E-1,7.06E-4,4.90E-4,9.17E2,3.82E-1
2.12E-1,6.72E-4,4.79E-4,8.89E2,3.64E-1
2.96E-1,6.49E-4,4.73E-4,8.62E2,3.47E-1
3.81E-1,6.31E-4,4.68E-4,8.36E2,3.30E-1
4.66E-1,6.16E-4,4.65E-4,8.10E2,3.15E-1
5.50E-1,6.04E-4,4.62E-4,7.84E2,2.99E-1
6.35E-1,5.96E-4,4.60E-4,7.59E2,2.85E-1
7.20E-1,5.90E-4,4.58E-4,7.34E2,2.71E-1
8.04E-1,5.87E-4,4.57E-4,7.09E2,2.57E-1
8.89E-1,5.86E-4,4.57E-4,6.85E2,2.44E-1
