Distance (m),Gypsum (g/m^2)
0.0423,0.00
0.127,0.829
0.212,0.00
0.296,0.00
0.381,0.00
0.466,0.00
0.550,0.00
0.635,0.00
0.720,0.00
0.804,0.00
0.889,0.00
