Distance (m),Ferryhydrite (g/m^2)
1.27E-1,2.18E-10
2.12E-1,2.27E-11
2.96E-1,9.41E-11
3.81E-1,2.79E-11
4.66E-1,0.00E0
5.50E-1,0.00E0
6.35E-1,0.00E0
7.20E-1,0.00E0
8.04E-1,0.00E0
8.89E-1,0.00E0
