Distance (m),Barite (g/m^2),Dolomite (g/m^2)
1.27E-1,6.38E-3,3.44E-1
2.12E-1,6.03E-3,3.24E-1
2.96E-1,5.74E-3,3.05E-1
3.81E-1,5.48E-3,2.87E-1
4.66E-1,5.23E-3,2.70E-1
5.50E-1,4.99E-3,2.59E-1
6.35E-1,4.76E-3,2.75E-1
7.20E-1,4.55E-3,2.68E-1
8.04E-1,4.35E-3,2.61E-1
8.89E-1,4.15E-3,2.54E-1
