Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
4.34E1,1.237E-14,2.498E-13,2.761E-10,1.551E-6,1.586E-6,2.193E-7,4.254E-8,1.710E-8,1.504E-7,2.104E-10,1.779E-13,7.295E-11
4.74E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.158E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
5.13E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.158E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
5.52E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.158E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
5.92E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.158E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
6.31E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.157E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
6.71E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.157E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
7.10E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.157E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
7.50E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.157E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
7.89E1,6.558E-9,1.324E-7,1.464E-4,8.222E-1,8.408E-1,1.153E-1,2.157E-2,9.065E-3,7.974E-2,1.115E-4,9.431E-8,3.868E-5
