Distance (m),Barite (g/m^2),Celestite (g/m^2),Goergeyite (g/m^2),Gypsum (g/m^2)
1.27E-1,0.00E0,0.00E0,0.00E0,7.40E1
2.12E-1,0.00E0,0.00E0,0.00E0,7.28E1
2.96E-1,0.00E0,0.00E0,6.33E0,6.53E1
3.81E-1,0.00E0,0.00E0,7.51E1,0.00E0
4.66E-1,0.00E0,0.00E0,7.44E1,0.00E0
5.50E-1,3.71E-4,4.66E-1,7.35E1,0.00E0
6.35E-1,6.66E-4,6.59E-1,7.26E1,0.00E0
7.20E-1,6.58E-4,6.61E-1,7.18E1,0.00E0
8.04E-1,6.39E-4,6.60E-1,7.06E1,0.00E0
8.89E-1,5.96E-4,6.47E-1,6.82E1,0.00E0
