Distance (m),Barite (g/m^2),Halite (g/m^2)
1.27E-1,9.21E-4,9.50E2
2.12E-1,8.85E-4,9.20E2
2.96E-1,8.50E-4,8.91E2
3.81E-1,8.18E-4,8.62E2
4.66E-1,7.86E-4,8.33E2
5.50E-1,7.56E-4,8.05E2
6.35E-1,7.26E-4,7.77E2
7.20E-1,6.98E-4,7.50E2
8.04E-1,6.70E-4,7.23E2
8.89E-1,6.43E-4,6.97E2
