Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
43.40962673305856,1.2685485793210712e-14,2.561459341612229e-13,2.8316012578574716e-10,1.5903254358600407e-06,1.626381470175559e-06,2.244851351009108e-07,4.32392874190755e-08,1.7533440454836807e-08,1.542384766657952e-07,2.1574133675892505e-10,1.8242560150773253e-13,7.481201020143119e-11
47.355956436063884,6.742562053040905e-09,1.3614613455638353e-07,0.00015050465943437937,0.8452863461927741,0.8644507717986346,0.11789535227921442,0.02155995016914249,0.009319336460365393,0.08198050250794207,0.00011467037007609309,9.696246231986804e-08,3.9763918333042604e-05
51.30228613906921,6.7425744599049845e-09,1.361463850763834e-07,0.00015050493637507774,0.8452879015886625,0.8644523624586463,0.11789539893901346,0.021559819563941027,0.009319353608705479,0.08198065335876803,0.00011467058107893604,9.696264073862358e-08,3.976399150189926e-05
55.248615842074535,6.742574466881617e-09,1.3614638521725784e-07,0.0001505049365308076,0.8452879024632914,0.8644523633530979,0.11789537039633459,0.021559790921581605,0.009319353618348281,0.08198065344359377,0.00011467058119758699,9.696264083896878e-08,3.9763991543043274e-05
59.194945545079854,6.742574541895533e-09,1.3614638673194044e-07,0.00015050493820523286,0.8452879118674493,0.8644523729704648,0.1178950629423879,0.021559482395862826,0.009319353722029708,0.08198065435566013,0.000114670582473343,9.696264191773274e-08,3.976399198543282e-05
63.14127524808518,6.742574682591194e-09,1.361463895728709e-07,0.00015050494134577613,0.8452879295058351,0.8644523910087466,0.11789448628343586,0.021558903726703074,0.009319353916494086,0.0819806560663268,0.00011467058486614037,9.69626439410385e-08,3.9763992815176816e-05
67.08760495109051,6.742574907825065e-09,1.361463941208042e-07,0.00015050494637335076,0.8452879577424424,0.8644524198855351,0.11789356313254658,0.021557977357749624,0.009319354227804517,0.08198065880486688,0.00011467058869668035,9.696264718006168e-08,3.9763994143481667e-05
71.03393465409583,6.742575227161893e-09,1.3614640056886452e-07,0.00015050495350145074,0.8452879977763189,0.8644524608270638,0.11789225428861556,0.02155666395124688,0.009319354669180628,0.08198066268757141,0.00011467059412762016,9.696265177234077e-08,3.9763996026753234e-05
74.98026435710115,6.742575638177898e-09,1.361464088681179e-07,0.00015050496267597603,0.8452880493036387,0.8644525135226154,0.11789056968497223,0.021554973475148988,0.009319355237272595,0.08198066768497284,0.00011467060111774533,9.696265768302453e-08,3.9763998450699315e-05
78.92659406010648,6.742576126902839e-09,1.361464187364772e-07,0.0001505049735850921,0.8452881105730105,0.8644525761810915,0.11788856658041123,0.021552963387854788,0.009319355912771382,0.08198067362721198,0.00011467060942946266,9.696266471121393e-08,3.9764001332929346e-05
