Distance (m),Dolomite (g/m^2),Siderite (g/m^2)
4.23E-2,6.270E0,8.160E-2
1.27E-1,5.410E-1,1.280E-2
2.12E-1,5.490E-1,1.270E-2
2.96E-1,5.570E-1,1.260E-2
3.81E-1,5.660E-1,1.240E-2
4.66E-1,5.760E-1,1.210E-2
5.50E-1,5.870E-1,1.180E-2
6.35E-1,5.980E-1,1.140E-2
7.20E-1,6.120E-1,1.090E-2
8.04E-1,6.270E-1,1.010E-2
8.89E-1,6.450E-1,9.140E-3
9.74E-1,6.670E-1,7.740E-3
