Distance (m),Barite (g/m^2),Dolomite (g/m^2)
1.27E-1,6.30E-3,2.30E-1
2.12E-1,5.96E-3,2.17E-1
2.96E-1,5.68E-3,2.04E-1
3.81E-1,5.42E-3,1.92E-1
4.66E-1,5.18E-3,1.80E-1
5.50E-1,4.95E-3,1.72E-1
6.35E-1,4.73E-3,1.83E-1
7.20E-1,4.52E-3,1.79E-1
8.04E-1,4.32E-3,1.74E-1
8.89E-1,4.13E-3,1.70E-1
