Distance (m),Calcite (g/m^2),Siderite (g/m^2),Barite (g/m^2)
4.23E-2,0.000E0,2.730E0,6.520E-3
1.27E-1,0.000E0,8.560E-2,7.120E-4
2.12E-1,0.000E0,8.140E-2,6.760E-4
2.96E-1,0.000E0,7.720E-2,6.410E-4
3.81E-1,0.000E0,7.300E-2,6.070E-4
4.66E-1,0.000E0,6.880E-2,5.740E-4
5.50E-1,4.160E-1,4.080E-2,5.470E-4
6.35E-1,1.080E0,3.570E-3,5.220E-4
7.20E-1,1.150E0,3.690E-3,4.900E-4
8.04E-1,1.220E0,3.770E-3,4.590E-4
8.89E-1,1.310E0,3.800E-3,4.290E-4
9.74E-1,1.410E0,3.720E-3,4.000E-4
