Distance (m),Barite (g/m^2),Halite (g/m^2)
1.27E-1,6.11E-4,9.33E2
2.12E-1,5.87E-4,9.04E2
2.96E-1,5.64E-4,8.75E2
3.81E-1,5.42E-4,8.46E2
4.66E-1,5.20E-4,8.18E2
5.50E-1,4.99E-4,7.90E2
6.35E-1,4.78E-4,7.63E2
7.20E-1,4.58E-4,7.36E2
8.04E-1,4.39E-4,7.09E2
8.89E-1,4.20E-4,6.83E2
