                 sim	               state	                soln	              dist_x	                time	                step	                  pH	                  pe	            reaction	                temp	                 Alk	                  mu	            mass_H2O	              charge	                  Li	                  Na	                  Mg	                  Ca	                   K	                  Mn	                  Fe	                  Co	                  Cu	           Aragonite	         d_Aragonite	            Artinite	          d_Artinite	             Brucite	           d_Brucite	             Calcite	           d_Calcite	            Dolomite	          d_Dolomite	          Gaylussite	        d_Gaylussite	             Huntite	           d_Huntite	           Magnesite	         d_Magnesite	              Natron	            d_Natron	        Nesquehonite	      d_Nesquehonite	          Pirssonite	        d_Pirssonite	         Portlandite	       d_Portlandite	        si_Aragonite	         si_Artinite	          si_Brucite	          si_Calcite	         si_Dolomite	       si_Gaylussite	          si_Huntite	        si_Magnesite	           si_Natron	     si_Nesquehonite	       si_Pirssonite	      si_Portlandite	
                   1	              i_soln	                   0	                 -99	                 -99	                 -99	  1.285500260036e+01	  4.000000000000e+00	                 -99	  2.000000000000e+01	  7.372906075069e-02	  1.063900003569e-01	  1.737815355638e+01	 -5.284661597216e-14	  5.771599061099e-06	  7.013727525225e-03	  1.442217051952e-04	  3.255928880692e-02	  9.477680334402e-04	  1.640695064199e-06	  1.757455892950e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	  3.395380481570e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  5.588845419498e-01	
                   1	              i_soln	                   1	                 -99	                 -99	                 -99	  7.000000000000e+00	  4.000000000000e+00	                 -99	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	               react	                   0	                 -99	                   0	                   1	  1.266498126658e+01	  4.000000000000e+00	  8.916777599411e+00	  2.000000000000e+01	  4.299780085375e-02	  6.047576820069e-02	  1.721750889115e+01	 -5.184741524999e-14	  5.825449859427e-06	  7.079167765009e-03	  9.275778187842e-08	  1.729896420791e-02	  9.566110013405e-04	  1.656003254890e-06	  1.773853498165e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.504709881112e-03	  2.504709881112e-03	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.679752505158e-01	  2.679752505158e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	
                   1	              transp	                   1	           0.0423333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.916777599411e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   2	               0.127	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.835040471416e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   3	            0.211667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.753303343421e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   4	            0.296333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.671566215427e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   5	               0.381	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.589829087432e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   6	            0.465667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.508091959438e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   7	            0.550333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.426354831443e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
