                 sim	               state	                soln	              dist_x	                time	                step	                  pH	                  pe	            reaction	                temp	                 Alk	                  mu	            mass_H2O	              charge	                  Ca	                S(6)	           Anhydrite	         d_Anhydrite	           Aragonite	         d_Aragonite	             Calcite	           d_Calcite	              Gypsum	            d_Gypsum	         Portlandite	       d_Portlandite	        si_Anhydrite	        si_Aragonite	          si_Calcite	           si_Gypsum	      si_Portlandite	
                   1	              transp	                   8	               0.635	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.344617703448e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   9	            0.719667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.262880575454e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                  10	            0.804333	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.181143447459e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                  11	               0.889	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.099406319465e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                  12	            0.973667	                   0	                   0	  7.000000000000e+00	  4.000000000000e+00	  8.017669191470e+00	  2.500000000000e+01	  1.216292778575e-09	  1.006453974338e-07	  1.737815355638e+01	 -2.113692267559e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	 -9.999990000000e+02	
                   1	              transp	                   1	           0.0423333	             201.263	                  51	  3.166699213218e+00	  4.000000000000e+00	  8.916777599411e+00	  2.500000000000e+01	 -1.209270228431e-03	  6.111743380278e-02	  1.726786606367e+01	 -1.665334536938e-15	  1.501477711998e-02	  1.561941223419e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  4.556955967601e+00	  8.936789165882e-02	  0.000000000000e+00	  0.000000000000e+00	 -3.489230316903e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.874560646895e+01	
                   1	              transp	                   2	               0.127	             201.263	                  51	  3.162679002486e+00	  4.000000000000e+00	  8.835040471416e+00	  2.500000000000e+01	 -1.220561969206e-03	  6.112588120772e-02	  1.710811647926e+01	 -3.863576125696e-14	  1.501442884054e-02	  1.562470982514e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.190593502613e-01	  2.397168971955e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489228548313e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.875368267525e+01	
                   1	              transp	                   3	            0.211667	             201.263	                  51	  3.158658824345e+00	  4.000000000000e+00	  8.753303343421e+00	  2.500000000000e+01	 -1.231959476424e-03	  6.113440799456e-02	  1.694984026581e+01	 -7.671641100160e-14	  1.501407755566e-02	  1.563005729387e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.155826718653e-01	  2.374987263351e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489226763152e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.876175913894e+01	
                   1	              transp	                   4	            0.296333	             201.263	                  51	  3.154639029129e+00	  4.000000000000e+00	  8.671566215427e+00	  2.500000000000e+01	 -1.243462740391e-03	  6.114301416289e-02	  1.679303742771e+01	 -1.152411499561e-13	  1.501372327262e-02	  1.563545464282e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.121503570605e-01	  2.352805558473e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489224961420e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.876983515898e+01	
                   1	              transp	                   5	               0.381	             201.263	                  51	  3.150619976824e+00	  4.000000000000e+00	  8.589829087432e+00	  2.500000000000e+01	 -1.255071695172e-03	  6.115169967026e-02	  1.663770796496e+01	 -1.535438443057e-13	  1.501336600051e-02	  1.564090184810e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.087624058936e-01	  2.330623858564e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489223143129e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.877791001484e+01	
                   1	              transp	                   6	            0.465667	             201.263	                  51	  3.146602037355e+00	  4.000000000000e+00	  8.508091959438e+00	  2.500000000000e+01	 -1.266786215653e-03	  6.116046442998e-02	  1.648385187755e+01	 -1.921796055626e-13	  1.501300575028e-02	  1.564639885811e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.054188184091e-01	  2.308442164924e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489221308297e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.878598296592e+01	
                   1	              transp	                   7	            0.550333	             201.263	                  51	  3.142585590762e+00	  4.000000000000e+00	  8.426354831443e+00	  2.500000000000e+01	 -1.278606114842e-03	  6.116930830911e-02	  1.633146916550e+01	 -2.304822999122e-13	  1.501264253482e-02	  1.565194559225e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.021195946486e-01	  2.286260478906e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489219456953e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.879405325120e+01	
                   1	              transp	                   8	               0.635	             201.263	                  51	  3.138571027372e+00	  4.000000000000e+00	  8.344617703448e+00	  2.500000000000e+01	 -1.290531141092e-03	  6.117823112635e-02	  1.618055982879e+01	 -2.692845946228e-13	  1.501227636904e-02	  1.565754193960e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  9.886473465056e-02	  2.264078801915e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489217589137e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.880212008887e+01	
                   1	              transp	                   9	            0.719667	             201.263	                  51	  3.134558747982e+00	  4.000000000000e+00	  8.262880575454e+00	  2.500000000000e+01	 -1.302560975265e-03	  6.118723264992e-02	  1.603112386744e+01	 -3.081424004847e-13	  1.501190726998e-02	  1.566318775762e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  9.565423845061e-02	  2.241897135421e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489215704899e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.881018267597e+01	
                   1	              transp	                  10	            0.804333	             201.263	                  51	  3.130549164024e+00	  4.000000000000e+00	  8.181143447459e+00	  2.500000000000e+01	 -1.314695227819e-03	  6.119631259537e-02	  1.588316128143e+01	 -3.463895836830e-13	  1.501153525681e-02	  1.566888287073e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  9.248810608067e-02	  2.219715480945e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489213804300e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.881824018805e+01	
                   1	              transp	                  11	               0.889	             201.263	                  51	  3.126542697740e+00	  4.000000000000e+00	  8.099406319465e+00	  2.500000000000e+01	 -1.326933435829e-03	  6.120547062334e-02	  1.573667207076e+01	 -3.862465902671e-13	  1.501116035101e-02	  1.567462706894e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  8.936633756907e-02	  2.197533840071e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489211887412e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.882629177878e+01	
                   1	              transp	                  12	            0.973667	             201.263	                  51	  3.122539782680e+00	  4.000000000000e+00	  8.017669191470e+00	  2.500000000000e+01	 -1.339275058924e-03	  6.121470633651e-02	  1.559165624734e+01	 -4.246603069191e-13	  1.501078257642e-02	  1.568042010590e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  8.628897169877e-02	  2.175352214441e-03	  0.000000000000e+00	  0.000000000000e+00	 -3.489209954319e-01	 -9.999990000000e+02	 -9.999990000000e+02	  0.000000000000e+00	 -1.883433657902e+01	
