,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp(C),Alk(eq/kgw),mu,mass_H2O,charge(eq),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw),Magnesite,d_Magnesite,Calcite,d_Calcite,Anhydrite,d_Anhydrite,Gypsum,d_Gypsum,Brucite,d_Brucite,Aragonite,d_Aragonite,Hydromagnesite,d_Hydromagnesite,Natron,d_Natron,Thermonatrite,d_Thermonatrite,Halite,d_Halite,Thenardite,d_Thenardite,Mirabilite,d_Mirabilite,Siderite,d_Siderite,Huntite,d_Huntite,Strontianite,d_Strontianite,Celestite,d_Celestite,Barite,d_Barite,Witherite,d_Witherite,Nesquehonite,d_Nesquehonite,Artinite,d_Artinite,MnSO4,d_MnSO4,Pyrochroite,d_Pyrochroite,CuMetal,d_CuMetal,Nantokite,d_Nantokite,Cu2SO4,d_Cu2SO4,Melanothallite,d_Melanothallite,CuCO3,d_CuCO3,Malachite,d_Malachite,Azurite,d_Azurite,Atacamite,d_Atacamite,Antlerite,d_Antlerite,Brochantite,d_Brochantite,Langite,d_Langite,CuSO4,d_CuSO4,Chalcanthite,d_Chalcanthite,ZnMetal,d_ZnMetal,ZnCl2,d_ZnCl2,Smithsonite,d_Smithsonite,Zincosite,d_Zincosite,Bianchite,d_Bianchite,Goslarite,d_Goslarite,CdMetal,d_CdMetal,Otavite,d_Otavite,CdCl2,d_CdCl2,CdOHCl,d_CdOHCl,CdSO4,d_CdSO4,Melanterite,d_Melanterite,Epsomite,d_Epsomite,PbMetal,d_PbMetal,Cotunnite,d_Cotunnite,Phosgenite,d_Phosgenite,Cerrusite,d_Cerrusite,Anglesite,d_Anglesite,Laurionite,d_Laurionite,Hydrocerrusite,d_Hydrocerrusite,Dolomite,d_Dolomite,NiCO3,d_NiCO3,Retgersite,d_Retgersite,Morenosite,d_Morenosite,Portlandite,d_Portlandite,Rhodochrosite,d_Rhodochrosite,si_Magnesite,si_Calcite,si_Anhydrite,si_Gypsum,si_Brucite,si_Aragonite,si_Hydromagnesite,si_Natron,si_Thermonatrite,si_Halite,si_Thenardite,si_Mirabilite,si_Siderite,si_Huntite,si_Strontianite,si_Celestite,si_Barite,si_Witherite,si_Nesquehonite,si_Artinite,si_MnSO4,si_Pyrochroite,si_CuMetal,si_Nantokite,si_Cu2SO4,si_Melanothallite,si_CuCO3,si_Malachite,si_Azurite,si_Atacamite,si_Antlerite,si_Brochantite,si_Langite,si_CuSO4,si_Chalcanthite,si_ZnMetal,si_ZnCl2,si_Smithsonite,si_Zincosite,si_Bianchite,si_Goslarite,si_CdMetal,si_Otavite,si_CdCl2,si_CdOHCl,si_CdSO4,si_Melanterite,si_Epsomite,si_PbMetal,si_Cotunnite,si_Phosgenite,si_Cerrusite,si_Anglesite,si_Laurionite,si_Hydrocerrusite,si_Dolomite,si_NiCO3,si_Retgersite,si_Morenosite,si_Portlandite,si_Rhodochrosite
0,1,i_soln,0,-99.0,-99.0,-99,8.22,0.2679,-99.0,24.5,4.2218307953025854e-05,0.9800862397122568,17.378153556381264,-0.0008927660382169694,5.884165451263574e-09,1.1881334943286924e-07,0.00013134388832014687,0.7376728127340236,0.7543974123977468,0.10447444762004937,0.02040091010206838,0.008132120747214268,0.07152295316794792,0.0001000716677990298,8.461199525762383e-08,3.471156972761998e-05,3.393728566096873e-09,2.159262587203424e-09,1.828692825462198e-09,3.4775365808899703e-09,0.0,1.8355659997303934e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8564255584152516,-1.9868004515989988,-0.1723004131210626,0.025171266696702332,-2.281930671478076,-2.1309307388491057,-16.271360132984825,-7.417774983996862,-8.766021913899353,-2.219995559878834,-2.5142140067606342,-1.6780087626769735,-4.94482474341382,-10.161031346101772,-3.515632709015984,-0.22212006759236047,-0.16456928090969392,-7.513008010792046,-4.30082090972007,-4.958645440916138,-13.996333527556198,-7.9717807045715645,-5.779661925144456,-7.873970648907951,-28.76239036613445,-21.19490172468666,-15.166764635549265,-19.965331535751098,-33.042514738082616,-16.579125440498878,-27.80898567183671,-35.18648338711321,-36.697542345788484,-21.896325757250807,-16.2836559232886,-35.88832448162039,-17.308570741909513,-7.609448624504553,-14.70494650460237,-9.980229311298077,-9.79325681061815,-24.68373832708758,-6.589640998916019,-10.668089103756545,-6.310588101739053,-12.674992356059038,-7.769686979581584,-1.8875973663193513,-15.245513385130225,-6.370120768635246,-9.831064279199602,-5.358064265965899,-4.7686266549567184,-3.2088986794634202,-13.552878017801376,-3.263272325928117,-10.717666545598522,-9.645025240704339,-9.33504742226624,-8.832727083420691,-6.112808362872601
1,1,i_soln,1,-99.0,-99.0,-99,7.0,4.0,-99.0,25.0,1.0817454711547681e-10,1.0009121339144398e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
2,1,react,0,-99.0,0.0,1,8.219287239393136,0.27137645958453016,8.916777599410583,24.5,4.261412234819677e-05,0.9863293795177955,17.216739372871306,-0.0008927660382218861,5.9393319808475596e-09,1.19927274629356e-07,0.00013257529259670943,0.7445888060697059,0.7614702058998706,0.10421347953617985,0.019351717191223666,0.008208362804562497,0.0721935109801906,0.00010100988183598692,8.540526835271284e-08,3.5037005314730085e-05,3.4255462008816662e-09,2.1795065834647727e-09,1.8458375909674172e-09,3.510139951114357e-09,0.0,1.8527752041394457e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.021356677144863053,0.021356677144863053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8481829281035278,-2.0059912293114337,-0.19726668404249192,0.0,-2.2781709590983166,-2.1501215165615406,-16.235039890908716,-7.407309869003711,-8.754634317917477,-2.2118807271869843,-2.508499406100113,-1.6733191408928174,-4.938440222497809,-10.155494232879036,-3.5080521348914964,-0.22031498667686833,-0.162850858920212,-7.505514095593568,-4.292885773071255,-4.946950591887567,-13.99673705943656,-7.970891661174898,-5.790137506011973,-7.877173783962364,-28.779311700966456,-21.190832413927968,-15.167434896304757,-19.971154975194054,-33.04900843828105,-16.584820553150717,-27.82573778317611,-35.20838867714008,-36.71955013370299,-21.902771511215292,-16.290614166691267,-35.893035164937835,-17.298736533600753,-7.604353987709976,-14.705627361016788,-9.981525155038314,-9.794655152246023,-24.69260093788582,-6.588698289602236,-10.662406822928578,-6.309517065634161,-12.679825139954248,-7.769795437088021,-1.885847714430076,-15.252475554856321,-6.362538046735132,-9.820638406913556,-5.355221115579971,-4.771558997779782,-3.2059272022863814,-13.548831484575551,-3.2742204733288283,-10.711487255581908,-9.645236431222536,-9.335361110672073,-8.856400779065092,-6.1074364015439695
3,1,transp,1,0.042333333333333334,0.0,0,7.0,5.3,8.916777599410583,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
4,1,transp,2,0.127,0.0,0,7.0,5.3,8.835040471415986,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
5,1,transp,3,0.21166666666666667,0.0,0,7.0,5.3,8.75330334342139,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
6,1,transp,4,0.29633333333333334,0.0,0,7.0,5.3,8.671566215426791,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
7,1,transp,5,0.381,0.0,0,7.0,5.3,8.589829087432195,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
8,1,transp,6,0.4656666666666667,0.0,0,7.0,5.3,8.508091959437598,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
9,1,transp,7,0.5503333333333333,0.0,0,7.0,5.3,8.426354831443001,25.0,1.0817454711547681e-10,1.0009121339144393e-07,17.378153556381264,-1.879873890664756e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
