Distance (m),Gypsum (g/m^2)
1.27E-1,9.38E0
2.12E-1,9.11E0
2.96E-1,8.84E0
3.81E-1,8.58E0
4.66E-1,8.32E0
5.50E-1,8.06E0
6.35E-1,7.81E0
7.20E-1,7.56E0
8.04E-1,7.31E0
8.89E-1,7.07E0
