Distance (m),Anhydrite (g/m^2)
4.23E-2,1.890E2
1.27E-1,6.950E0
2.12E-1,6.780E0
2.96E-1,6.620E0
3.81E-1,6.450E0
4.66E-1,6.290E0
5.50E-1,6.130E0
6.35E-1,5.970E0
7.20E-1,5.810E0
8.04E-1,5.660E0
8.89E-1,5.500E0
9.74E-1,5.350E0
