Time (s),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw)
7.50E1,1.660E-16,3.352E-15,3.705E-12,2.081E-8,2.128E-8,2.947E-9,5.755E-10,2.294E-10,2.018E-9,2.823E-12,2.387E-15,9.789E-13
7.89E1,3.789E-16,7.652E-15,8.459E-12,4.751E-8,4.858E-8,6.728E-9,1.314E-9,5.238E-10,4.608E-9,6.445E-12,5.450E-15,2.235E-12
