Distance (m),Gypsum (g/m^2)
1.27E-1,9.04E0
2.12E-1,8.78E0
2.96E-1,8.53E0
3.81E-1,8.29E0
4.66E-1,8.04E0
5.50E-1,7.80E0
6.35E-1,7.57E0
7.20E-1,7.33E0
8.04E-1,7.10E0
8.89E-1,6.87E0
