Distance (m),Gypsum
0.127 m,9.16
0.212 m,8.88
0.296 m,8.60
0.381 m,8.33
0.466 m,8.07
0.550 m,7.81
0.635 m,7.55
0.720 m,7.29
0.804 m,7.04
0.889 m,6.79
