Distance (m),Barite (g/m^2),Dolomite (g/m^2),Halite (g/m^2)
4.23E-2,1.990E2,1.110E-2,1.210E3
1.27E-1,1.720E2,2.940E-2,1.030E3
2.12E-1,1.480E2,4.590E-2,8.740E2
2.96E-1,1.270E2,6.050E-2,7.500E2
3.81E-1,1.090E2,7.350E-2,6.420E2
4.66E-1,9.310E1,8.510E-2,5.470E2
5.50E-1,7.940E1,9.560E-2,4.620E2
6.35E-1,6.750E1,1.050E-1,3.880E2
7.20E-1,5.720E1,1.130E-1,3.220E2
8.04E-1,4.820E1,1.210E-1,2.700E2
8.89E-1,4.050E1,1.280E-1,2.240E2
9.74E-1,3.390E1,1.340E-1,1.840E2
