scale (g/m^2),0.127 m,0.212 m,0.296 m,0.381 m,0.466 m,0.550 m,0.635 m,0.720 m,0.804 m,0.889 m
Barite,0.00,0.00,0.00,0.00,0.00,3.71e-4,6.66e-4,6.58e-4,6.39e-4,5.96e-4
Goergeyite,0.00,0.00,6.33,75.1,74.4,73.5,72.6,71.8,70.6,68.2
Celestite,0.00,0.00,0.00,0.00,0.00,0.466,0.659,0.661,0.660,0.647
Gypsum,74.0,72.8,65.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
