Distance (m),Brucite,Portlandite
0.127 m,1.26e-6,3.51
0.212 m,1.22e-6,3.40
0.296 m,1.18e-6,3.29
0.381 m,1.14e-6,3.19
0.466 m,1.10e-6,3.08
0.550 m,1.07e-6,2.98
0.635 m,1.03e-6,2.88
0.720 m,9.95e-7,2.78
0.804 m,9.59e-7,2.68
0.889 m,9.24e-7,2.59
