Concentration Factor ($CF$),Gypsum (g)
1.00707,0.0
1.01424,0.0
1.02151,0.0
1.02889,0.0
1.03638,0.0
1.04398,0.0
1.05168,0.0
1.05951,0.10214183203793109
1.06745,0.4458359359172113
1.07552,0.7900063767262857
1.08371,1.1346590648375998
1.09202,1.4798000292513942
1.10047,1.825435419757308
1.10904,2.171571509674922
1.11775,2.5182146986382747
