Distance (m),Barite (g/m^2),Brucite (g/m^2)
1.27E-1,6.39E-3,0.00E0
2.12E-1,6.03E-3,0.00E0
2.96E-1,5.74E-3,0.00E0
3.81E-1,5.46E-3,0.00E0
4.66E-1,5.21E-3,0.00E0
5.50E-1,4.97E-3,0.00E0
6.35E-1,4.74E-3,0.00E0
7.20E-1,4.53E-3,0.00E0
8.04E-1,4.32E-3,0.00E0
8.89E-1,4.13E-3,0.00E0
