Distance (m),Gypsum (g/m^2)
4.23E-2,9.490E1
1.27E-1,9.640E0
2.12E-1,9.410E0
2.96E-1,9.180E0
3.81E-1,8.960E0
4.66E-1,8.740E0
5.50E-1,8.520E0
6.35E-1,8.300E0
7.20E-1,8.090E0
8.04E-1,7.880E0
8.89E-1,7.670E0
9.74E-1,7.460E0
