,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp(C),Alk(eq/kgw),mu,mass_H2O,charge(eq),Mn(mol/kgw),Fe(mol/kgw),B(mol/kgw),Cl(mol/kgw),Na(mol/kgw),S(6)(mol/kgw),Ca(mol/kgw),K(mol/kgw),Mg(mol/kgw),Sr(mol/kgw),Ba(mol/kgw),Li(mol/kgw),Zn(mol/kgw),Ni(mol/kgw),Cu(mol/kgw),Cd(mol/kgw),Co(mol/kgw),Pb(mol/kgw),Calcite,d_Calcite,Dolomite,d_Dolomite,Siderite,d_Siderite,Gypsum,d_Gypsum,Anhydrite,d_Anhydrite,Halite,d_Halite,Melanterite,d_Melanterite,si_Calcite,si_Dolomite,si_Siderite,si_Gypsum,si_Anhydrite,si_Halite,si_Melanterite
10,1,transp,8,0.635,0.0,0,7.0,5.3,6.325939874138594,25.0,1.0817420631078485e-10,1.0009121322101007e-07,13.171724160465171,-1.4248408068029088e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
11,1,transp,9,0.7196666666666667,0.0,0,7.0,5.3,6.263976081960924,25.0,1.0817420631078485e-10,1.0009121322101007e-07,13.171724160465171,-1.4248408068029088e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
12,1,transp,10,0.8043333333333333,0.0,0,7.0,5.3,6.202012289783253,25.0,1.0817420631078485e-10,1.0009121322101007e-07,13.171724160465171,-1.4248408068029088e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
13,1,transp,11,0.889,0.0,0,7.0,5.3,6.140048497605582,25.0,1.0817420631078485e-10,1.0009121322101007e-07,13.171724160465171,-1.4248408068029088e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
14,1,transp,12,0.9736666666666667,0.0,0,7.0,5.3,6.07808470542791,25.0,1.0817420631078485e-10,1.0009121322101007e-07,13.171724160465171,-1.4248408068029088e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999
15,1,transp,1,0.042333333333333334,200.40436001528005,67,8.222643835890269,0.2598264579992059,6.759686419382292,24.5,4.247879186732773e-05,0.9853570949742009,13.089653286593014,-0.0063421729827486395,0.0,1.1955704933472077e-07,0.0,0.7422901995937284,0.7591194851634355,0.10335537239116259,0.0186574367779899,0.008183022917975513,0.07197064371370768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6987066993004618,0.025381679311538674,0.0,0.0,0.0,0.0,0.0,0.0,-0.8508034580755481,-0.9506238827144209,-3.753559407994265,0.0,-0.1973198699450407,-2.2123650467108797,-7.739969429063944
16,1,transp,2,0.127,200.40436001528005,67,8.223134029479631,0.2608677019017016,6.697722627204621,24.500000000000007,4.287556937085052e-05,0.9938222597892534,12.96851950996275,-0.006342172982750416,0.0,1.2067378412449846e-07,0.0,0.7492236367654386,0.7662101179901686,0.10411640085489361,0.018627335552188606,0.00825945727654242,0.07264289283766169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17259024221312363,0.002642879412114607,0.0,0.0,0.0,0.0,0.0,0.0,-0.8475853873082269,-0.9391498869890267,-3.7467580420528748,0.0,-0.1970915911803246,-2.2044170270787045,-7.736956830801665
17,1,transp,3,0.21166666666666667,200.40436001528005,67,8.22360608354389,0.2619819064800928,6.63575883502695,24.500000000000014,4.3276065925304336e-05,1.002364136554803,12.848502885955057,-0.00634217298275086,0.0,1.2180098628224466e-07,0.0,0.7562220623648638,0.7733672126694431,0.10488442158102466,0.018596811179464535,0.008336608068916071,0.0733214430807457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684995898669746,0.0026202258089770003,0.0,0.0,0.0,0.0,0.0,0.0,-0.8443858031001774,-0.9277003729839457,-3.739974061096124,0.0,-0.19686112337562367,-2.196461746134138,-7.7339486035647145
18,1,transp,4,0.29633333333333334,200.40436001528005,67,8.224059916118199,0.26317231022030785,6.573795042849278,24.50000000000002,4.368028124084412e-05,1.0109826721623378,12.729603419445587,-0.006342172982747751,0.0,1.2293865505416877e-07,0.0,0.7632854717119707,0.7805907644151203,0.10565943523929838,0.01856586486356886,0.008414475243503661,0.07400629398919494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16444963748804742,0.0025975068446547345,0.0,0.0,0.0,0.0,0.0,0.0,-0.8412050086301068,-0.9162762946359084,-3.733208151713436,0.0,-0.19662846505872267,-2.1884998186522218,-7.730945134444351
19,1,transp,5,0.381,200.40436001528005,67,8.22449546501643,0.2644286431340431,6.511831250671608,24.50000000000003,4.40882131436787e-05,1.0196777714801142,12.61182111278469,-0.006342172982740202,0.0,1.240867841182091e-07,0.0,0.7704138255551645,0.787880733085688,0.10644143881098746,0.01853449806451994,0.008493058367594774,0.07469744175727079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604407853287562,0.00257472269310971,0.0,0.0,0.0,0.0,0.0,0.0,-0.8380432956562167,-0.9048785992180939,-3.7264606569545364,0.0,-0.1963936158752695,-2.1805318806134926,-7.727946475617973
20,1,transp,6,0.4656666666666667,200.40436001528005,67,8.224912666327947,0.26574986096832554,6.449867458493937,24.500000000000057,4.449985731762397e-05,1.0284492952675448,12.495155968315654,-0.006342172982747751,0.0,1.252453613006437e-07,0.0,0.7776070483118275,0.7952370413849115,0.10723042539725966,0.018502712507729384,0.008572356607965051,0.07539487905666735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15647329808850108,0.002551873558426343,0.0,0.0,0.0,0.0,0.0,0.0,-0.8349009638483746,-0.8935082665706631,-3.7197321716893317,0.0,-0.19615657664802377,-2.1725585898766386,-7.724952920228819
21,1,transp,7,0.5503333333333333,200.40436001528005,67,8.225311452465132,0.2671463042495421,6.387903666316266,24.500000000000398,4.491520718886521e-05,1.0372970582145005,12.379607988373662,-0.0063421729827337625,0.0,1.2641436830870046e-07,0.0,0.7848650264081832,0.8026595731640576,0.10802638403834837,0.01847051019259989,0.008652368712574734,0.07609859487554876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15254740597894959,0.002528959675207998,0.0,0.0,0.0,0.0,0.0,0.0,-0.8317783226104485,-0.8821663132150146,-3.713023599313063,0.0,-0.1959173494330324,-2.1645806266910377,-7.721965057127874
22,1,transp,8,0.635,200.40436001528005,67,8.225691786260459,0.2686047810809678,6.325939874138594,24.500000000003347,4.53342540828482e-05,1.0462208269315918,12.265177175284743,-0.006342172982736649,0.0,1.2759378045619333e-07,0.0,0.7921876065758734,0.8101481716798499,0.10882929952787068,0.01843789340121011,0.008733092991790207,0.07680857435338945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148663328086268,0.002505981309771005,0.0,0.0,0.0,0.0,0.0,0.0,-0.8286756608682779,-0.8708537324020291,-3.7063352375057956,0.0,-0.19567593757722257,-2.1565986942131623,-7.718982886702286
23,1,transp,9,0.7196666666666667,200.40436001528005,67,8.226053606139693,0.27014551424511235,6.263976081960924,24.500000000025445,4.575698670866617e-05,1.0552203178909862,12.151863531364459,-0.00634217298273021,0.0,1.287835663822556e-07,0.0,0.7995745941056389,0.8177026378085599,0.10963915222222284,0.018404864706970555,0.0088145272991325,0.07752479861165582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14482127922030416,0.002482938760736464,0.0,0.0,0.0,0.0,0.0,0.0,-0.8255932959182335,-0.8595715922905125,-3.699668269418966,0.0,-0.1954323457776317,-2.1486135190260613,-7.716007263064641
24,1,transp,10,0.8043333333333333,200.40436001528005,67,8.22639689067452,0.2717557308705515,6.202012289783253,24.500000000170324,4.6183391543634085e-05,1.0642951953201392,12.039667058916866,-0.006342172982747529,0.0,1.2998368776323856e-07,0.0,0.8070257510585997,0.8253227282167296,0.11045591784528931,0.018371426983434008,0.008896669011558275,0.07824724458037514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14102147239296894,0.0024598323600114602,0.0,0.0,0.0,0.0,0.0,0.0,-0.8225315161655402,-0.8483209219062058,-3.693023024867019,0.0,-0.19518658014188262,-2.1406258516619046,-7.713038212355154
25,1,transp,11,0.889,200.40436001528005,67,8.226721610618617,0.27343925192235286,6.140048497605582,24.500000001010577,4.661345236061744e-05,1.07344506904725,11.928587760233295,-0.00634217298274331,0.0,1.311940990178854e-07,0.0,0.8145407944358238,0.8330081534892464,0.11127956728836015,0.018337583413067796,0.008979515009281345,0.07897588482066281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13726411981426342,0.0024366624719649177,0.0,0.0,0.0,0.0,0.0,0.0,-0.8194906238441195,-0.8371027970678018,-3.6864002790317354,0.0,-0.19493864824906915,-2.132636467127177,-7.710076188576241
26,1,transp,12,0.9736666666666667,200.40436001528005,67,8.227027772036054,0.27517266940938107,6.07808470542791,24.500000005364583,4.704715042924265e-05,1.0826694917216892,11.818625644427115,-0.006342172982735761,0.0,1.3241474692935461e-07,0.0,0.8221193938315017,0.8407585757293029,0.11211006635357279,0.01830333749848081,0.009063061649901095,0.07971068729717927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13354946602276718,0.0024134294927191935,0.0,0.0,0.0,0.0,0.0,0.0,-0.8164708969976306,-0.8259182651525094,-3.679800105163812,0.0,-0.19468855922234418,-2.1246461659327034,-7.707120964136
