Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw),K(mol/kgw)
29.9,1.2622477992517285e-14,7.381106784249092e-14,5.66602276583764e-13,,,,,
32.9,2.3040941644481908e-08,1.3487047045135336e-07,1.0355340092466948e-06,1.0411521306882231e-10,1.3062666606730931e-06,5.8040200079640466e-08,7.880892992727962e-12,2.9370180541833833e-08
35.9,0.01640899283680241,0.09628015648089086,0.7396016704547329,7.436142590943402e-05,0.9329650167607277,0.04145361576639047,5.6287109549642485e-06,0.020976843248344305
38.9,0.016409015714526277,0.09628029243365863,0.7396027175221288,7.436153118424226e-05,0.932966337576089,0.04145367445302039,5.6287189236316055e-06,0.020976872945638794
41.9,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
44.9,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
47.9,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
50.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
53.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
56.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
59.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
62.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
65.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
68.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
71.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
74.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
77.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
80.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
83.8,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
86.7,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
89.7,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
92.7,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
95.7,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
98.7,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
102.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
105.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
108.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
111.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
114.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
117.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
120.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
123.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
126.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
129.0,0.01640901571454428,0.09628029243376446,0.7396027175229416,7.436153118432393e-05,0.9329663375771169,0.041453674453066185,5.628718923637798e-06,0.020976872945661886
