Distance ($m$),Gypsum (g/m^2)
0.0423,81.3
0.127,8.99
0.212,8.78
0.296,8.57
0.381,8.37
0.466,8.17
0.55,7.97
0.635,7.78
0.72,7.58
0.804,7.39
0.889,7.2
0.974,7.01
