Distance (m),Calcite (g/m^2),Siderite (g/m^2),Barite (g/m^2)
4.23E-2,0.000E0,3.220E1,7.680E-2
1.27E-1,0.000E0,1.040E0,8.620E-3
2.12E-1,0.000E0,1.010E0,8.360E-3
2.96E-1,0.000E0,9.750E-1,8.100E-3
3.81E-1,0.000E0,9.430E-1,7.840E-3
4.66E-1,0.000E0,9.100E-1,7.590E-3
5.50E-1,5.700E0,5.480E-1,7.400E-3
6.35E-1,1.500E1,4.960E-2,7.240E-3
7.20E-1,1.630E1,5.250E-2,6.970E-3
8.04E-1,1.780E1,5.510E-2,6.700E-3
8.89E-1,1.960E1,5.700E-2,6.430E-3
9.74E-1,2.170E1,5.730E-2,6.160E-3
