Distance (m),Barite (g/m^2),Brucite (g/m^2),Halite (g/m^2),Portlandite (g/m^2)
1.27E-1,7.18E-4,7.15E-4,9.17E2,5.10E-1
2.12E-1,6.83E-4,6.99E-4,8.89E2,4.85E-1
2.96E-1,6.60E-4,6.90E-4,8.62E2,4.62E-1
3.81E-1,6.42E-4,6.84E-4,8.36E2,4.40E-1
4.66E-1,6.27E-4,6.79E-4,8.10E2,4.19E-1
5.50E-1,6.14E-4,6.75E-4,7.84E2,3.99E-1
6.35E-1,6.06E-4,6.71E-4,7.59E2,3.79E-1
7.20E-1,6.00E-4,6.69E-4,7.34E2,3.61E-1
8.04E-1,5.97E-4,6.68E-4,7.09E2,3.43E-1
8.89E-1,5.96E-4,6.67E-4,6.85E2,3.26E-1
