Distance (m),Gypsum
0.127 m,9.74
0.212 m,9.43
0.296 m,9.14
0.381 m,8.84
0.466 m,8.55
0.550 m,8.27
0.635 m,7.98
0.720 m,7.71
0.804 m,7.43
0.889 m,7.16
